home,away,result
Chelsea,Arsenal,D
Chelsea,Fulham,H
Bolton,Chelsea,A
Chelsea,Charlton,H
Man United,Chelsea,A
Newcastle,Chelsea,D
Wigan,Chelsea,A
Chelsea,Arsenal,H
Chelsea,West Brom,H
Tottenham,Chelsea,A
Chelsea,Sunderland,H
Charlton,Chelsea,A
Chelsea,Aston Villa,H
Liverpool,Chelsea,A
Chelsea,Bolton,H
Everton,Chelsea,D
Chelsea,Blackburn,H
Man United,Chelsea,H
Chelsea,Newcastle,H
Portsmouth,Chelsea,A
Chelsea,Middlesbrough,H
Chelsea,Wigan,H
Arsenal,Chelsea,A
Chelsea,Fulham,H
Man City,Chelsea,A
Chelsea,Birmingham,H
West Ham,Chelsea,A
Sunderland,Chelsea,A
Chelsea,Charlton,D
Aston Villa,Chelsea,D
Chelsea,Liverpool,H
Middlesbrough,Chelsea,H
Chelsea,Portsmouth,H
West Brom,Chelsea,A
Chelsea,Tottenham,H
Fulham,Chelsea,H
Chelsea,Man City,H
Birmingham,Chelsea,D
Chelsea,West Ham,H
Bolton,Chelsea,A
Chelsea,Everton,H
Chelsea,Man United,H
Blackburn,Chelsea,H
Newcastle,Chelsea,H
Chelsea,Man City,H
Middlesbrough,Chelsea,H
Blackburn,Chelsea,A
Chelsea,Charlton,H
Chelsea,Liverpool,H
Fulham,Chelsea,A
Chelsea,Aston Villa,D
Reading,Chelsea,A
Chelsea,Portsmouth,H
Sheffield United,Chelsea,A
Tottenham,Chelsea,H
Chelsea,Watford,H
Chelsea,West Ham,H
Man United,Chelsea,D
Bolton,Chelsea,A
Chelsea,Arsenal,D
Chelsea,Newcastle,H
Everton,Chelsea,A
Wigan,Chelsea,A
Chelsea,Reading,D
Chelsea,Fulham,D
Aston Villa,Chelsea,D
Chelsea,Wigan,H
Liverpool,Chelsea,H
Chelsea,Blackburn,H
Charlton,Chelsea,A
Chelsea,Middlesbrough,H
Portsmouth,Chelsea,A
Man City,Chelsea,A
Chelsea,Sheffield United,H
Watford,Chelsea,A
Chelsea,Tottenham,H
West Ham,Chelsea,A
Newcastle,Chelsea,D
Chelsea,Bolton,D
Arsenal,Chelsea,D
Chelsea,Man United,D
Chelsea,Everton,D
Chelsea,Birmingham,H
Reading,Chelsea,A
Liverpool,Chelsea,D
Chelsea,Portsmouth,H
Aston Villa,Chelsea,H
Chelsea,Blackburn,D
Man United,Chelsea,H
Chelsea,Fulham,D
Bolton,Chelsea,A
Middlesbrough,Chelsea,A
Chelsea,Man City,H
Wigan,Chelsea,A
Chelsea,Everton,D
Derby,Chelsea,A
Chelsea,West Ham,H
Chelsea,Sunderland,H
Arsenal,Chelsea,H
Blackburn,Chelsea,A
Chelsea,Aston Villa,D
Chelsea,Newcastle,H
Fulham,Chelsea,A
Chelsea,Tottenham,H
Birmingham,Chelsea,A
Chelsea,Reading,H
Portsmouth,Chelsea,D
Chelsea,Liverpool,D
West Ham,Chelsea,A
Chelsea,Derby,H
Sunderland,Chelsea,A
Tottenham,Chelsea,D
Chelsea,Arsenal,H
Chelsea,Middlesbrough,H
Man City,Chelsea,A
Chelsea,Wigan,D
Everton,Chelsea,A
Chelsea,Man United,H
Newcastle,Chelsea,A
Chelsea,Bolton,D
Chelsea,Portsmouth,H
Wigan,Chelsea,A
Chelsea,Tottenham,D
Man City,Chelsea,A
Chelsea,Man United,D
Stoke,Chelsea,A
Chelsea,Aston Villa,H
Middlesbrough,Chelsea,A
Chelsea,Liverpool,A
Hull,Chelsea,A
Chelsea,Sunderland,H
Blackburn,Chelsea,A
West Brom,Chelsea,A
Chelsea,Newcastle,D
Chelsea,Arsenal,A
Bolton,Chelsea,A
Chelsea,West Ham,D
Everton,Chelsea,D
Chelsea,West Brom,H
Fulham,Chelsea,D
Man United,Chelsea,H
Chelsea,Stoke,H
Chelsea,Middlesbrough,H
Liverpool,Chelsea,H
Chelsea,Hull,D
Aston Villa,Chelsea,A
Chelsea,Wigan,H
Portsmouth,Chelsea,A
Chelsea,Man City,H
Tottenham,Chelsea,H
Newcastle,Chelsea,A
Chelsea,Bolton,H
Chelsea,Everton,D
West Ham,Chelsea,A
Chelsea,Fulham,H
Arsenal,Chelsea,A
Chelsea,Blackburn,H
Sunderland,Chelsea,A
Chelsea,Hull,H
Sunderland,Chelsea,A
Fulham,Chelsea,A
Chelsea,Burnley,H
Stoke,Chelsea,A
Chelsea,Tottenham,H
Wigan,Chelsea,H
Chelsea,Liverpool,H
Aston Villa,Chelsea,H
Chelsea,Blackburn,H
Bolton,Chelsea,A
Chelsea,Man United,H
Chelsea,Wolves,H
Arsenal,Chelsea,A
Man City,Chelsea,H
Chelsea,Everton,D
Chelsea,Portsmouth,H
West Ham,Chelsea,D
Birmingham,Chelsea,D
Chelsea,Fulham,H
Chelsea,Sunderland,H
Chelsea,Birmingham,H
Burnley,Chelsea,A
Hull,Chelsea,D
Chelsea,Arsenal,H
Everton,Chelsea,H
Wolves,Chelsea,A
Chelsea,Man City,A
Chelsea,West Ham,H
Blackburn,Chelsea,D
Portsmouth,Chelsea,A
Chelsea,Aston Villa,H
Man United,Chelsea,A
Chelsea,Bolton,H
Tottenham,Chelsea,H
Chelsea,Stoke,H
Liverpool,Chelsea,A
Chelsea,Wigan,H
Chelsea,West Brom,H
Wigan,Chelsea,A
Chelsea,Stoke,H
West Ham,Chelsea,A
Chelsea,Blackpool,H
Man City,Chelsea,H
Chelsea,Arsenal,H
Aston Villa,Chelsea,D
Chelsea,Wolves,H
Blackburn,Chelsea,A
Liverpool,Chelsea,H
Chelsea,Fulham,H
Chelsea,Sunderland,A
Birmingham,Chelsea,H
Newcastle,Chelsea,D
Chelsea,Everton,D
Tottenham,Chelsea,D
Arsenal,Chelsea,H
Chelsea,Bolton,H
Chelsea,Aston Villa,D
Wolves,Chelsea,H
Chelsea,Blackburn,H
Bolton,Chelsea,A
Sunderland,Chelsea,A
Chelsea,Liverpool,A
Fulham,Chelsea,D
Chelsea,Man United,H
Blackpool,Chelsea,A
Chelsea,Man City,H
Stoke,Chelsea,D
Chelsea,Wigan,H
West Brom,Chelsea,A
Chelsea,Birmingham,H
Chelsea,West Ham,H
Chelsea,Tottenham,H
Man United,Chelsea,H
Chelsea,Newcastle,D
Everton,Chelsea,H
Stoke,Chelsea,D
Chelsea,West Brom,H
Chelsea,Norwich,H
Sunderland,Chelsea,A
Man United,Chelsea,H
Chelsea,Swansea,H
Bolton,Chelsea,A
Chelsea,Everton,H
QPR,Chelsea,H
Chelsea,Arsenal,A
Blackburn,Chelsea,A
Chelsea,Liverpool,A
Chelsea,Wolves,H
Newcastle,Chelsea,A
Chelsea,Man City,H
Wigan,Chelsea,D
Tottenham,Chelsea,D
Chelsea,Fulham,D
Chelsea,Aston Villa,A
Wolves,Chelsea,A
Chelsea,Sunderland,H
Norwich,Chelsea,D
Swansea,Chelsea,D
Chelsea,Man United,D
Everton,Chelsea,H
Chelsea,Bolton,H
West Brom,Chelsea,H
Chelsea,Stoke,H
Man City,Chelsea,H
Chelsea,Tottenham,D
Aston Villa,Chelsea,A
Chelsea,Wigan,H
Fulham,Chelsea,D
Arsenal,Chelsea,D
Chelsea,QPR,H
Chelsea,Newcastle,A
Liverpool,Chelsea,H
Chelsea,Blackburn,H
Wigan,Chelsea,A
Chelsea,Reading,H
Chelsea,Newcastle,H
QPR,Chelsea,D
Chelsea,Stoke,H
Arsenal,Chelsea,A
Chelsea,Norwich,H
Tottenham,Chelsea,A
Chelsea,Man United,A
Swansea,Chelsea,D
Chelsea,Liverpool,D
West Brom,Chelsea,H
Chelsea,Man City,D
Chelsea,Fulham,D
West Ham,Chelsea,H
Sunderland,Chelsea,A
Chelsea,Aston Villa,H
Norwich,Chelsea,A
Everton,Chelsea,A
Chelsea,QPR,A
Stoke,Chelsea,A
Chelsea,Southampton,D
Chelsea,Arsenal,H
Reading,Chelsea,D
Newcastle,Chelsea,H
Chelsea,Wigan,H
Man City,Chelsea,H
Chelsea,West Brom,H
Chelsea,West Ham,H
Southampton,Chelsea,H
Chelsea,Sunderland,H
Fulham,Chelsea,A
Liverpool,Chelsea,D
Chelsea,Swansea,H
Man United,Chelsea,A
Chelsea,Tottenham,D
Aston Villa,Chelsea,A
Chelsea,Everton,H
Chelsea,Hull,H
Chelsea,Aston Villa,H
Man United,Chelsea,D
Everton,Chelsea,H
Chelsea,Fulham,H
Tottenham,Chelsea,D
Norwich,Chelsea,A
Chelsea,Cardiff,H
Chelsea,Man City,H
Newcastle,Chelsea,H
Chelsea,West Brom,D
West Ham,Chelsea,A
Chelsea,Southampton,H
Sunderland,Chelsea,A
Stoke,Chelsea,H
Chelsea,Crystal Palace,H
Arsenal,Chelsea,D
Chelsea,Swansea,H
Chelsea,Liverpool,H
Southampton,Chelsea,A
Hull,Chelsea,A
Chelsea,Man United,H
Chelsea,West Ham,D
Man City,Chelsea,A
Chelsea,Newcastle,H
West Brom,Chelsea,D
Chelsea,Everton,H
Fulham,Chelsea,A
Chelsea,Tottenham,H
Aston Villa,Chelsea,H
Chelsea,Arsenal,H
Crystal Palace,Chelsea,H
Chelsea,Stoke,H
Swansea,Chelsea,A
Chelsea,Sunderland,A
Liverpool,Chelsea,A
Chelsea,Norwich,D
Cardiff,Chelsea,A
Burnley,Chelsea,A
Chelsea,Leicester,H
Everton,Chelsea,A
Chelsea,Swansea,H
Man City,Chelsea,D
Chelsea,Aston Villa,H
Chelsea,Arsenal,H
Crystal Palace,Chelsea,A
Man United,Chelsea,D
Chelsea,QPR,H
Liverpool,Chelsea,A
Chelsea,West Brom,H
Sunderland,Chelsea,D
Chelsea,Tottenham,H
Newcastle,Chelsea,H
Chelsea,Hull,H
Stoke,Chelsea,A
Chelsea,West Ham,H
Southampton,Chelsea,D
Tottenham,Chelsea,H
Chelsea,Newcastle,H
Swansea,Chelsea,A
Chelsea,Man City,D
Aston Villa,Chelsea,A
Chelsea,Everton,H
Chelsea,Burnley,D
West Ham,Chelsea,A
Chelsea,Southampton,D
Hull,Chelsea,A
Chelsea,Stoke,H
QPR,Chelsea,A
Chelsea,Man United,H
Arsenal,Chelsea,D
Leicester,Chelsea,A
Chelsea,Crystal Palace,H
Chelsea,Liverpool,D
West Brom,Chelsea,H
Chelsea,Sunderland,H
Chelsea,Swansea,D
Man City,Chelsea,H
West Brom,Chelsea,A
Chelsea,Crystal Palace,A
Everton,Chelsea,H
Chelsea,Arsenal,H
Newcastle,Chelsea,D
Chelsea,Southampton,A
Chelsea,Aston Villa,H
West Ham,Chelsea,H
Chelsea,Liverpool,A
Stoke,Chelsea,H
Chelsea,Norwich,H
Tottenham,Chelsea,D
Chelsea,Bournemouth,A
Leicester,Chelsea,H
Chelsea,Sunderland,H
Chelsea,Watford,D
Man United,Chelsea,D
Crystal Palace,Chelsea,A
Chelsea,West Brom,D
Chelsea,Everton,D
Arsenal,Chelsea,A
Watford,Chelsea,D
Chelsea,Man United,D
Chelsea,Newcastle,H
Southampton,Chelsea,A
Norwich,Chelsea,A
Chelsea,Stoke,D
Chelsea,West Ham,D
Aston Villa,Chelsea,A
Swansea,Chelsea,H
Chelsea,Man City,A
Bournemouth,Chelsea,A
Chelsea,Tottenham,D
Sunderland,Chelsea,H
Liverpool,Chelsea,D
Chelsea,Leicester,D
Chelsea,West Ham,H
Watford,Chelsea,A
Chelsea,Burnley,H
Swansea,Chelsea,D
Chelsea,Liverpool,A
Arsenal,Chelsea,H
Hull,Chelsea,A
Chelsea,Leicester,H
Chelsea,Man United,H
Southampton,Chelsea,A
Chelsea,Everton,H
Middlesbrough,Chelsea,A
Chelsea,Tottenham,H
Man City,Chelsea,A
Chelsea,West Brom,H
Sunderland,Chelsea,A
Crystal Palace,Chelsea,A
Chelsea,Bournemouth,H
Chelsea,Stoke,H
Tottenham,Chelsea,H
Leicester,Chelsea,A
Chelsea,Hull,H
Liverpool,Chelsea,D
Chelsea,Arsenal,H
Burnley,Chelsea,D
Chelsea,Swansea,H
West Ham,Chelsea,A
Stoke,Chelsea,A
Chelsea,Crystal Palace,A
Chelsea,Man City,H
Bournemouth,Chelsea,A
Man United,Chelsea,H
Chelsea,Southampton,H
Everton,Chelsea,A
Chelsea,Middlesbrough,H
West Brom,Chelsea,A
Chelsea,Watford,H
Chelsea,Sunderland,H
Chelsea,Burnley,A
Tottenham,Chelsea,A
Chelsea,Everton,H
Leicester,Chelsea,A
Chelsea,Arsenal,D
Stoke,Chelsea,A
Chelsea,Man City,A
Crystal Palace,Chelsea,H
Chelsea,Watford,H
Bournemouth,Chelsea,A
Chelsea,Man United,H
West Brom,Chelsea,A
Liverpool,Chelsea,D
Chelsea,Swansea,H
Chelsea,Newcastle,H
West Ham,Chelsea,H
Huddersfield,Chelsea,A
Chelsea,Southampton,H
Everton,Chelsea,D
Chelsea,Brighton,H
Chelsea,Stoke,H
Arsenal,Chelsea,D
Chelsea,Leicester,D
Brighton,Chelsea,A
Chelsea,Bournemouth,A
Watford,Chelsea,H
Chelsea,West Brom,H
Man United,Chelsea,H
Man City,Chelsea,H
Chelsea,Crystal Palace,H
Chelsea,Tottenham,A
Chelsea,West Ham,D
Southampton,Chelsea,A
Burnley,Chelsea,A
Swansea,Chelsea,A
Chelsea,Liverpool,H
Chelsea,Huddersfield,D
Newcastle,Chelsea,H
